Applicant ID,Loan Type,Gender,Marital Status,Accomodation Type,No of years in the current address,No. of Years in the current job,Monthly Salary,Balance in Savings Account,Loan Amount Requested,Term,Down Payment ,EMI Affordable 
29,Home Loan,Female,Married,Rented,8,10,16400,3000,400000,180,1000000,6157
30,Home Loan,Male,Married,Rented,2,10,16832,9513,520000,180,533100,8375
31,Home Loan,Male,Married,Family Other,15,11,18000,12144,1000000,180,500000,16000
32,Home Loan,Female,Married,Rented,8,14,15000,7900,150000,120,250000,3000
33,Home Loan,Female,Married,Rented,1,14,10381,94817,800000,180,200000,15000
34,Home Improvement,Male,Married,Family Other,7,15,10000,2300,300000,84,1200000,8000
35,Home Loan,Male,Married,Family Other,34,15,4000,936,400000,180,150000,7000
36,Home Loan,Female,Married,Company Provided,13,15,15502,28425,1000000,180,300000,16000
37,Home Loan,Male,Married,Family Other,25,15,12000,2500,1000000,180,200000,15000
38,Home Loan,Male,Married,Company Provided,8,15,24000,23823,1000000,180,300000,16000
39,Home Loan,Male,Married,Rented,10,15,23703,24286,450000,120,150000,8000
40,Home Loan,Male,Married,Family Other,2,17,13000,90784,625000,180,175000,9180
41,Home Loan,Male,Married,Family Other,8,17,19067,72982,600000,180,3450000,10000
42,Home Improvement,Male,Married,Rented,8,17,10000,52,200000,60,219000,5500
43,Home Loan,Male,Married,Rented,14,18,12157,59541,500000,144,150000,9000
44,Home Loan,Female,Married,Rented,6,18,19435,10000,1000000,180,500000,20000
45,Home Loan,Male,Married,Family Other,20,18,24226,4207,600000,180,540000,15000
46,Home Loan,Male,Married,Owned,10,18,14609,161,400000,84,100000,12000
47,Home Loan,Male,Married,Company Provided,3,19,21353,65759,680000,180,720000,10466
48,Home Loan,Male,Married,Owned,18,20,35000,32916,800000,180,400000,15000
49,Home Loan,Male,Married,Company Provided,20,20,25000,130000,800000,180,450000,12313
50,Home Loan,Male,Married,Rented,8,20,22000,43083,1000000,180,500000,15391
51,Home Loan,Male,Married,Rented,2,20,11993,16567,250000,120,300000,4345
52,Home Loan,Male,Married,Company Provided,20,20,4000,48,700000,120,400000,11000
53,Home Loan,Male,Married,Rented,2,21,23422,50414,800000,180,1000000,15000
54,Home Loan,Male,Married,Family Other,30,21,16405,605,400000,168,1042000,6256
55,Home Loan,Male,Married,Company Provided,1,21,24287,4862,700000,180,700000,10774
56,Home Loan,Male,Married,Family Other,30,22,22603,55,800000,180,200000,11750
57,Home Loan,Male,Married,Company Provided,10,22,18500,10000,800000,180,200000,13000
58,Home Loan,Male,Married,Company Provided,25,22,17686,218558,350000,120,450000,6083
59,Home Loan,Male,Married,Rented,20,23,23367,21302,500000,180,700000,8000
60,Home Loan,Male,Married,Rented,1,23,5000,0,700000,180,700000,12000
61,Home Loan,Male,Married,Rented,23,23,22526,118735,600000,120,150000,12000
62,Home Loan,Male,Married,Owned,0,24,14500,10189,200000,60,300000,4971
63,Home Loan,Male,Married,Rented,1,24,23173,11268,600000,180,300000,9500
64,Home Loan,Male,Married,Company Provided,10,24,21300,10000,700000,180,800000,11000
65,Home Loan,Male,Married,Rented,1,24,17761,210,450000,180,550000,6926
66,Home Loan,Male,Married,Company Provided,2,25,15481,16503,800000,180,400000,15000
67,Home Loan,Male,Married,Company Provided,5,25,40191,50395,800000,180,900000,15000
68,Home Improvement,Female,Married,Owned,25,25,21000,1632,300000,84,300000,17000
69,Home Loan,Male,Married,Family Other,12,26,37968,4110,500000,180,300000,7695
70,Home Loan,Male,Married,Company Provided,5,26,18000,1962,500000,132,500000,8395
71,Home Loan,Male,Married,Rented,10,26,30000,114,1000000,96,250000,16000
72,Home Loan,Female,Married,Rented,2,27,40000,29965,600000,96,700000,11473
73,Home Loan,Male,Married,Rented,1,27,24750,361385,470000,60,630000,12500
74,Home Loan,Male,Married,Rented,5,28,50000,6249,750000,180,350000,11000
75,Home Loan,Male,Married,Owned,30,28,18072,1897,600000,72,1000000,15076
76,Home Loan,Male,Married,Family Other,40,28,35913,56328,800000,84,750000,20000
77,Home Loan,Male,Married,Owned,10,28,14160,164,700000,180,1000000,15000
78,Home Loan,Male,Married,Owned,50,28,16000,644,500000,60,500000,12000
79,Home Loan,Female,Married,Owned,10,29,6000,3583,500000,120,2500000,10000
80,Home Loan,Male,Married,Owned,1,29,15491,1558,230000,144,0,3754
81,Home Loan,Male,Married,Owned,1,29,10000,5578,580000,180,145000,9500
82,Home Loan,Male,Married,Owned,35,30,5086,1071,700000,180,500000,12000
83,Home Loan,Male,Married,Owned,1,30,4394,3700,400000,60,215000,9942
84,Home Loan,Male,Married,Family Other,30,30,18000,357,700000,120,200000,12500
85,Home Loan,Male,Married,Rented,30,30,10000,25000,700000,96,225000,13386
86,Home Loan,Male,Married,Rented,8,31,24000,123871,800000,180,700000,15000
87,Home Loan,Male,Married,Rented,2,34,10000,1500,600000,60,300000,14910
88,Home Improvement,Male,Married,Owned,10,35,8438,71,500000,84,90000,12000
89,Home Improvement,Male,Married,Family Other,58,35,15000,3000,500000,84,100000,15000
90,Home Loan,Male,Single,Rented,1,7,17500,28,500000,180,150000,7000
91,Home Improvement,Female,Married,Rented,1,17,9500,1507,300000,60,500000,11000
92,Home Loan,Male,Married,Rented,4,8,18857,384,650000,180,337000,11000
93,Home Loan,Male,Married,Rented,1,7,15000,5150,1000000,180,500000,15000
94,Home Loan,Female,Married,Owned,20,1,5600,0,500000,180,250000,7344
95,Home Loan,Male,Married,Rented,2,1,12000,2990,200000,96,50000,3700
96,Home Loan,Male,Single,Rented,2,1,18000,10000,800000,180,400000,14000
97,Home Improvement,Female,Married,Rented,3,1,10000,6449,100000,36,1100000,4000
98,Home Loan,Male,Married,Company Provided,5,1,20000,968092,800000,180,800000,15000
99,Home Improvement,Female,Married,Owned,26,1,5000,1000,300000,84,700000,7000
100,Home Loan,Male,Married,Family Other,28,1,42100,0,800000,180,400000,15000
101,Home Loan,Female,Others,Family Other,3,1,13000,624,800000,180,650000,14000
102,Home Loan,Male,Married,Rented,1,1,67000,200,800000,180,400000,12000
103,Home Loan,Female,Others,Family Other,40,1,16324,72979,500000,60,150000,12000
104,Home Loan,Male,Single,Rented,1,1,25480,15000,778480,180,221520,11981
105,Home Loan,Male,Married,Rented,5,1,10000,40000,800000,180,1000000,15000
106,Home Loan,Male,Single,Family Other,5,1,10000,9502,300000,180,200000,5000
107,Home Loan,Male,Married,Family Other,7,1,19000,25000,800000,120,400000,14000
108,Home Loan,Male,Single,Rented,2,1,23584,1500,600000,180,200000,12000
109,Home Loan,Male,Married,Family Other,8,1,18000,3589,800000,180,200000,13000
110,Home Loan,Male,Married,Owned,1,1,12197,12369,800000,180,200000,13000
111,Home Loan,Male,Married,Rented,25,1,25000,10798,1000000,180,400000,15900
112,Home Loan,Male,Single,Family Other,10,1,25000,5000,800000,180,700000,13000
113,Home Loan,Male,Married,Rented,2,1,20090,29,500000,180,500000,7695
114,Home Loan,Male,Married,Family Other,5,1,43193,451,1000000,180,250000,15931
115,Home Loan,Male,Married,Rented,1,1,23000,104445,600000,180,200000,9500
116,Home Loan,Male,Married,Family Other,27,1,34000,17477,780000,180,670000,20000
117,Home Improvement,Male,Married,Owned,30,1,7000,0,300000,60,129000,11000
118,Home Loan,Male,Single,Rented,6,1,7514,323,700000,144,690000,11424
119,Home Loan,Male,Single,Family Other,1,1,16004,11195,500000,180,1300000,15000
120,Home Loan,Male,Married,Family Other,24,1,20000,79192,1000000,180,700000,20000
121,Home Loan,Male,Married,Rented,5,1,30000,56000,1000000,180,310000,20000
122,Home Loan,Female,Married,Family Other,31,1,15500,42944,1000000,144,310000,20000
123,Home Loan,Male,Married,Rented,8,1,18190,18822,1000000,180,650000,25000
124,Home Loan,Male,Married,Family Other,24,1,10625,44548,900000,180,430000,18000
125,Home Loan,Male,Married,Owned,1,1,30500,34075,400000,120,100000,12000
126,Home Improvement,Male,Married,Owned,16,1,50000,15127,500000,84,251500,15000
127,Home Loan,Male,Single,Rented,4,1,19000,151,1000000,180,602550,25000
128,Home Loan,Female,Others,Rented,1,1,16781,5503,750000,180,152000,11016
129,Home Loan,Male,Married,Owned,12,1,12500,1088,500000,180,226000,8000
130,Home Loan,Male,Married,Family Other,4,1,10000,9469,300000,180,200000,6500
131,Home Loan,Male,Married,Rented,15,1,15000,345933,300000,180,400000,5000
132,Home Loan,Male,Married,Rented,2,1,8959,2683,750000,180,350000,11543
133,Home Loan,Male,Married,Owned,15,1,13000,7565,550000,180,200000,7500
134,Home Loan,Male,Married,Family Other,15,1,13000,7565,400000,180,284000,6157
135,Home Loan,Male,Married,Family Other,17,1,25000,5520,500000,180,500000,8500
136,Home Loan,Male,Married,Rented,5,1,15600,3000,600000,108,250000,10500
137,Home Improvement,Male,Married,Family Other,20,1,25000,2518,400000,84,0,9372
138,Home Improvement,Male,Married,Family Other,20,1,24000,1476,400000,84,620250,9371
139,Home Loan,Male,Single,Owned,3,1,10600,16560,600000,120,150000,10428
140,Home Loan,Male,Married,Family Other,1,1,6000,91,520000,180,80000,8000
141,Home Loan,Male,Married,Owned,12,1,6000,149529,700000,180,400000,12000
142,Home Loan,Male,Married,Owned,20,1,12500,165,400000,180,150000,6442
143,Home Loan,Male,Married,Rented,2,1,16342,9000,400000,180,300000,6442
144,Home Loan,Male,Married,Rented,10,1,8975,25000,350000,180,122794,6000
145,Home Loan,Male,Married,Family Other,28,1,21760,64000,800000,180,250000,5000
146,Home Loan,Male,Married,Rented,2,1,19625,15000,640000,180,560000,9850
147,Home Loan,Male,Married,Owned,40,1,13155,5136,400000,180,120000,7000
148,Home Loan,Male,Single,Family Other,24,1,9600,1500,800000,120,955000,15000
149,Home Loan,Male,Single,Owned,1,1,12887,1001,800000,180,955000,18000
150,Home Loan,Male,Married,Rented,2,1,15000,1393,500000,180,103268,8000
151,Home Loan,Male,Married,Rented,7,1,23950,5000,700000,180,200000,11000
152,Home Loan,Male,Married,Rented,2,1,33958,38111,800000,180,500000,15000
153,Home Loan,Male,Married,Rented,1,1,17327,71623,550000,180,200000,8465
154,Home Loan,Male,Single,Rented,7,1,19265,6000,620000,180,280000,9542
155,Home Loan,Male,Married,Rented,1,1,39782,13000,950000,180,350000,14621
156,Home Loan,Male,Married,Rented,1,1,25000,20000,800000,180,200000,15000
157,Home Loan,Female,Married,Owned,1,1,35000,5000,520000,180,156000,15000
158,Home Loan,Male,Married,Rented,5,1,15734,1031,900000,180,363000,15400
159,Home Loan,Male,Married,Family Other,27,1,16589,58440,1000000,180,325000,20000
160,Home Loan,Male,Married,Company Provided,7,1,22820,29475,980000,180,875000,20000
161,Home Loan,Male,Married,Rented,4,1,15000,23381,750000,180,200000,11543
162,Home Loan,Female,Married,Rented,1,1,40000,122099,1000000,180,500000,15400
163,Home Loan,Female,Married,Rented,6,1,15730,110301,900000,180,318000,13852
164,Home Loan,Male,Single,Rented,4,1,15764,72495,800000,180,500000,13000
165,Home Loan,Male,Married,Owned,8,1,12500,1951,400000,120,300000,10000
166,Home Loan,Male,Married,Family Other,20,1,4400,1312,300000,180,707000,7000
167,Home Improvement,Male,Married,Owned,5,1,14000,1325,300000,84,17000,7000
168,Home Loan,Male,Single,Owned,27,1,18000,0,500000,180,150000,10000
169,Home Loan,Female,Married,Rented,5,1,6132,12930,450000,180,115000,6926
170,Home Loan,Female,Married,Rented,2,1,8284,2063,600000,180,200000,10500
171,Home Loan,Male,Married,Owned,10,1,13500,218916,450000,180,150000,6925
172,Home Loan,Male,Married,Rented,1,1,19433,697206,630000,180,787000,9696
173,Home Improvement,Male,Married,Owned,10,1,17481,2247,500000,84,200000,12000
174,Home Loan,Male,Married,Family Other,30,1,13248,3074,600000,180,600000,10000
175,Home Loan,Male,Single,Owned,6,1,18000,29000,625000,180,375000,10000
176,Home Loan,Male,Married,Rented,3,1,16000,18439,750000,180,250000,11543
177,Home Loan,Male,Married,Owned,2,1,12000,1200,700000,180,100000,10774
178,Home Loan,Female,Single,Rented,7,1,45472,165000,700000,60,0,12000
179,Home Loan,Male,Single,Rented,1,1,10000,10000,650000,180,200000,10000
180,Home Loan,Male,Married,Rented,1,1,19000,100,480000,120,120000,8041
181,Home Loan,Male,Married,Rented,20,1,8000,25781,800000,180,400000,14500
182,Home Loan,Male,Married,Rented,5,1,35000,6262,800000,180,700000,15000
183,Home Loan,Male,Married,Rented,1,1,16000,551,500000,180,200000,9000
184,Home Loan,Male,Married,Owned,3,1,35000,61594,800000,180,300000,15000
185,Home Loan,Male,Single,Family Other,30,1,10000,2542,800000,180,400000,17000
186,Home Loan,Male,Married,Rented,1,1,18000,9000,800000,120,1000000,16000
187,Home Loan,Female,Married,Owned,4,1,6000,690,170000,180,274000,3500
188,Home Loan,Male,Married,Rented,4,1,16000,5833,500000,180,300000,5000
189,Home Loan,Male,Married,Owned,3,1,43000,2000,600000,180,0,10000
190,Home Loan,Male,Married,Rented,1,1,28497,18000,450000,120,500000,700000
191,Home Loan,Female,Married,Owned,3,1,53802,25000,800000,180,1600000,15000
192,Home Loan,Male,Married,Rented,3,1,18000,2000,800000,180,300000,15000
193,Home Loan,Male,Married,Owned,2,1,14270,70000,450000,180,300000,6926
194,Home Loan,Male,Married,Rented,4,1,16500,20000,400000,180,450000,7000
195,Home Loan,Male,Married,Family Other,20,1,24808,50000,800000,180,700000,13000
196,Home Improvement,Male,Single,Family Other,15,1,36000,1008,300000,84,300000,10000
197,Home Loan,Male,Single,Rented,1,1,7800,50000,850000,144,440000,13872
198,Home Loan,Male,Married,Rented,1,1,46282,50000,800000,60,200000,19883
199,Home Loan,Male,Single,Rented,2,1,29000,69,400000,48,300000,14000
200,Home Loan,Male,Married,Rented,1,1,18000,11362,300000,180,600000,4618
201,Home Improvement,Male,Married,Owned,6,1,10000,10325,200000,84,100000,4000
202,Home Loan,Male,Married,Owned,12,1,13500,0,800000,120,400000,13500
203,Home Loan,Male,Married,Rented,3,1,20000,21945,1000000,180,800000,16000
204,Home Loan,Male,Married,Rented,5,1,20000,26037,600000,180,400000,9240
205,Home Loan,Male,Married,Family Other,10,1,27600,28446,500000,120,150000,8690
206,Home Loan,Male,Married,Rented,2,1,15000,17500,300000,180,350000,5000
207,Home Loan,Male,Married,Rented,3,1,62727,32117,500000,60,112000,15000
208,Home Loan,Male,Married,Rented,10,1,27000,234180,1000000,180,800000,15390
209,Home Loan,Male,Married,Family Other,25,1,10000,16519,500000,180,900000,8000
210,Home Loan,Male,Single,Rented,1,1,26967,40089,735000,120,295000,13000
211,Home Loan,Male,Married,Rented,14,1,10741,524,500000,180,300000,7696
212,Home Loan,Male,Married,Family Other,2,1,19883,10343,1000000,180,2000000,15390
213,Home Loan,Female,Married,Rented,4,1,15000,11182,200000,180,400000,4000
214,Home Loan,Female,Married,Rented,1,1,50000,83367,1000000,180,500000,15390
215,Home Loan,Male,Married,Family Other,7,1,12000,4496,350000,180,200000,350000
216,Home Loan,Male,Married,Rented,15,1,41080,35650,1000000,180,700000,16000
217,Home Loan,Male,Married,Rented,1,1,13000,136,700000,180,300000,12000
218,Home Loan,Male,Married,Owned,1,1,25000,853,700000,180,300000,12000
219,Home Loan,Male,Single,Rented,1,1,25000,241,1000000,180,300000,16000
220,Home Loan,Male,Married,Owned,10,1,35000,95700,1000000,180,250000,16000
221,Home Loan,Male,Single,Rented,1,1,13000,288,300000,84,0,6306
222,Home Loan,Male,Married,Family Other,1,1,4550,202746,1000000,180,250000,16000
223,Home Loan,Male,Married,Rented,2,2,9000,9286,500000,180,150000,7695
224,Home Improvement,Male,Married,Rented,4,2,10800,16290,450000,84,350000,11000
225,Home Loan,Male,Married,Rented,4,2,5468,589,800000,180,200000,14000
226,Home Loan,Female,Married,Company Provided,13,2,8800,3000,300000,180,211850,4407
227,Home Loan,Male,Married,Rented,1,2,17900,5109,600000,180,500000,8000
228,Home Loan,Male,Married,Rented,2,2,16000,2581,800000,180,400000,12000
229,Home Loan,Male,Married,Owned,3,2,17000,17,500000,120,500000,8690
230,Home Loan,Male,Married,Rented,1,2,22305,11349,720000,180,580000,11081
231,Home Loan,Male,Married,Rented,1,2,29198,1044,800000,180,1000000,15000
232,Home Loan,Female,Single,Owned,1,2,30000,0,800000,120,570000,13904
233,Home Loan,Male,Married,Rented,1,2,7000,323445,700000,120,415000,12166
234,Home Loan,Male,Single,Family Other,15,2,46440,40000,740000,180,260000,11389
235,Home Loan,Male,Married,Rented,10,2,5100,23450,800000,180,510000,12313
236,Home Loan,Male,Married,Owned,30,2,9500,1000,300000,180,175000,6000
237,Home Loan,Male,Married,Rented,3,2,15000,1988,1000000,180,250000,15391
238,Home Loan,Male,Married,Family Other,4,2,26500,2115,500000,180,500000,9000
239,Home Loan,Male,Married,Family Other,16,2,42864,69445,800000,180,200000,13000
240,Home Loan,Male,Married,Rented,10,2,25000,12066,1000000,180,600000,16000
241,Home Loan,Male,Married,Rented,2,2,37000,154716,1000000,180,3500000,15931
242,Home Loan,Male,Single,Owned,4,2,22200,1000,700000,180,550000,15000
243,Home Improvement,Female,Married,Owned,19,2,11550,300,250000,60,130000,6905
244,Home Loan,Female,Married,Family Other,35,2,34131,23839,800000,180,980000,33000
245,Home Improvement,Female,Married,Owned,25,2,9000,2222,180000,84,235000,4217
246,Home Loan,Female,Married,Rented,6,2,30000,10009,1000000,180,1050000,30000
247,Home Loan,Male,Married,Rented,2,2,20000,1382,480000,180,1028000,7388
248,Home Loan,Male,Single,Rented,28,2,11504,4986,1000000,180,900000,25000
249,Home Loan,Male,Married,Rented,2,2,21433,34,650000,180,420000,10004
250,Home Loan,Male,Married,Rented,2,2,15227,95,700000,180,550000,15000
251,Home Loan,Male,Married,Family Other,36,2,12680,0,800000,168,530000,12511
252,Home Loan,Male,Married,Rented,3,2,36000,43952,1000000,180,650000,20000
253,Home Loan,Male,Married,Family Other,5,2,25000,1645,800000,180,50000,20000
254,Home Loan,Male,Married,Rented,3,2,8000,7658,450000,180,231000,6610
255,Home Loan,Male,Single,Rented,4,2,4500,1303,370000,180,1880000,5435
256,Home Loan,Male,Married,Rented,4,2,11000,4000,400000,180,200000,6000
257,Home Loan,Male,Married,Rented,6,2,15975,250,500000,180,365000,7344
258,Home Improvement,Male,Married,Owned,20,2,15000,20845,400000,84,375000,12000
259,Home Improvement,Male,Married,Owned,7,2,13490,11028,230000,84,570000,5388
260,Home Loan,Male,Married,Rented,1,2,5500,1561,420000,180,230000,9500
261,Home Loan,Female,Married,Family Other,10,2,4000,13724,350000,180,910000,5387
262,Home Loan,Male,Married,Owned,40,2,7000,89891,300000,132,465000,5037
263,Home Improvement,Male,Married,Owned,34,2,4000,1000,100000,84,100000,3000
264,Home Loan,Male,Married,Owned,8,2,15000,21777,430000,180,170000,6618
265,Home Loan,Male,Married,Owned,4,2,4442,97,150000,180,315000,2309
266,Home Loan,Male,Single,Family Other,15,2,15000,162,600000,180,2400000,7000
267,Home Loan,Male,Married,Owned,2,2,18000,1562,500000,180,850000,9000
268,Home Loan,Male,Married,Family Other,9,2,10833,12194,300000,180,241000,4618
269,Home Loan,Male,Married,Family Other,25,2,8000,8753,800000,180,200000,13000
270,Home Loan,Male,Married,Owned,9,2,14333,31346,750000,156,289000,11958
271,Home Loan,Male,Married,Family Other,25,2,8000,1067,550000,180,150000,7000
272,Home Loan,Male,Married,Family Other,25,2,15000,1186,500000,180,500000,8000
273,Home Loan,Male,Married,Family Other,23,2,15000,9610,600000,180,104000,10000
274,Home Loan,Male,Single,Family Other,8,2,16000,103302,1000000,180,300000,16000
275,Home Loan,Male,Married,Family Other,20,2,12559,11833,400000,180,460000,6157
276,Home Loan,Male,Married,Family Other,7,2,7748,6001,700000,180,100000,10000
277,Home Loan,Male,Married,Family Other,20,2,12000,3982,800000,180,300000,15000
278,Home Loan,Male,Married,Family Other,6,2,30000,2320,1000000,180,400000,16000
279,Home Loan,Female,Single,Rented,15,2,15000,0,600000,180,0,3333
280,Home Loan,Male,Married,Owned,1,2,18000,17036,500000,180,600000,8000
281,Home Loan,Male,Married,Family Other,10,2,4950,0,719250,180,240750,11070
282,Home Loan,Male,Married,Family Other,38,2,29412,35000,800000,180,1400000,16000
283,Home Loan,Male,Married,Rented,1,2,36016,355685,800000,180,200000,12313
284,Home Improvement,Male,Married,Owned,25,2,5740,13275,300000,84,300000,20000
285,Home Loan,Male,Single,Rented,3,2,21027,10283,800000,180,1155000,13000
286,Home Loan,Male,Married,Rented,10,2,22500,12000,800000,120,500000,17000
287,Home Loan,Male,Married,Rented,4,2,25000,6413,600000,180,730000,9235
288,Home Loan,Male,Married,Rented,16,2,32000,6500,800000,180,1580000,20000
289,Home Loan,Male,Married,Rented,1,2,24056,23803,800000,180,900000,15000
290,Home Loan,Male,Single,Family Other,31,2,20000,5135,600000,144,450000,12000
291,Home Loan,Male,Married,Rented,6,2,12000,10819,800000,180,800000,13000
292,Home Loan,Male,Married,Rented,1,2,14738,2272,800000,180,260000,15000
293,Home Loan,Male,Married,Rented,2,2,34160,28354,800000,180,300000,13000
294,Home Loan,Male,Married,Rented,1,2,15000,29189,500000,180,140000,8000
295,Home Loan,Male,Married,Rented,2,2,19519,11000,600000,180,400000,10000
296,Home Loan,Male,Married,Rented,10,2,34191,11000,900000,180,340000,14000
297,Home Loan,Male,Married,Rented,2,2,10000,50039,500000,180,250000,7696
298,Home Loan,Male,Married,Rented,1,2,22500,1975,1000000,180,500000,15391
299,Home Loan,Male,Married,Rented,3,2,18705,10000,1000000,180,400000,20000
300,Home Loan,Male,Married,Family Other,5,2,16300,1213,600000,180,400000,8000
301,Home Loan,Male,Single,Rented,2,2,17800,1508,1000000,180,200000,16000
302,Home Loan,Male,Married,Rented,4,2,50846,0,1000000,120,350000,16000
303,Home Loan,Male,Married,Rented,2,2,24000,1766,770000,180,380000,11851
304,Home Loan,Male,Married,Rented,5,2,31936,22958,1000000,180,250000,20000
305,Home Loan,Male,Married,Owned,1,2,32000,17885,600000,72,250000,10000
306,Home Loan,Male,Married,Family Other,3,2,13700,213778,600000,144,227760,9792
307,Home Loan,Female,Married,Company Provided,20,2,24428,0,320000,72,200758,7299
308,Home Loan,Male,Married,Owned,1,2,15000,7100,600000,180,400000,18000
309,Home Loan,Male,Married,Owned,13,2,13809,12007,1000000,180,300000,15390
310,Home Loan,Male,Single,Rented,8,2,18000,102747,400000,180,200000,6156
311,Home Loan,Male,Single,Rented,15,2,10500,5532,900000,180,200000,13851
312,Home Loan,Male,Married,Rented,10,2,8600,61041,450000,180,150000,6925
313,Home Loan,Male,Single,Family Other,20,2,8552,32,1000000,180,470000,15390
314,Home Loan,Male,Married,Rented,8,2,19713,138999,565000,120,635000,9820
315,Home Loan,Male,Single,Rented,1,2,12000,18090,850000,180,150000,13082
316,Home Loan,Male,Single,Family Other,28,2,5500,3609,900000,180,700000,14000
317,Home Loan,Male,Married,Rented,5,2,12000,11501,320000,180,31000,5000
318,Home Loan,Male,Married,Rented,3,2,17500,3148,500000,180,200000,7700
319,Home Loan,Male,Married,Family Other,25,2,11500,50000,800000,120,500000,13500
320,Home Loan,Male,Married,Family Other,27,2,25000,9246,800000,180,1200000,14000
321,Home Loan,Male,Married,Rented,4,2,25000,4000,800000,180,1250000,13000
322,Home Loan,Female,Married,Owned,10,2,13600,11000,640000,180,360000,9850
323,Home Loan,Male,Married,Owned,4,2,8000,5749,200000,180,220000,4618
324,Home Loan,Male,Married,Family Other,25,2,25000,2402,750000,180,0,11543
325,Home Loan,Male,Married,Rented,3,2,25000,25000,800000,180,200000,12313
326,Home Loan,Male,Married,Rented,2,2,18939,552,800000,180,400000,16000
327,Home Loan,Male,Married,Rented,1,2,20000,23837,500000,180,150000,7696
328,Home Loan,Female,Married,Rented,6,2,25000,0,800000,180,1600000,13000
329,Home Improvement,Male,Married,Family Other,10,2,8250,113196,300000,60,600000,12000
330,Home Loan,Male,Married,Company Provided,20,2,8000,1507,700000,120,850000,12000
331,Home Loan,Male,Married,Rented,1,2,24056,40000,800000,120,550000,13904
332,Home Loan,Male,Married,Owned,1,2,14246,47158,400000,180,155000,6157
333,Home Loan,Male,Married,Rented,2,2,44000,37214,900000,180,1500000,13860
334,Home Loan,Male,Single,Rented,1,2,8000,4962,1000000,180,900000,16000
335,Home Loan,Male,Single,Rented,4,2,25000,16532,800000,180,300000,13000
336,Home Loan,Male,Married,Rented,5,2,18000,30145,1000000,180,500000,15390
337,Home Loan,Male,Married,Rented,3,2,23677,1480,900000,180,600000,16000
338,Home Loan,Male,Married,Rented,1,2,25657,4459,790000,180,260000,12159
339,Home Improvement,Male,Married,Family Other,30,2,19750,1630,400000,84,158200,10000
340,Home Loan,Male,Married,Rented,3,2,32805,35000,1000000,180,250000,15391
341,Home Loan,Male,Married,Rented,1,2,19645,1900,400000,180,600000,6157
342,Home Loan,Male,Single,Rented,2,2,12000,5000,800000,180,250000,12312
343,Home Loan,Male,Married,Rented,2,2,25000,100125,900000,180,300000,13852
344,Home Loan,Male,Single,Rented,3,2,33266,44934,940000,180,660000,14467
345,Home Loan,Male,Married,Family Other,8,2,18000,206380,580000,180,420000,8927
346,Home Loan,Female,Single,Rented,1,2,32000,16748,1000000,180,250000,16000
347,Home Loan,Male,Married,Rented,28,3,23000,21036,447775,180,114083,6577
348,Home Loan,Male,Married,Rented,3,3,6000,3513,800000,180,600000,14000
349,Home Loan,Male,Married,Rented,3,3,42548,42587,800000,120,1200000,15000
